Godot Engine v4.7.1.rc.custom_build.63555b7fc (2026-07-28 12:21:48 UTC) - https://godotengine.org

=== LOD Vertex Bounds Analysis ===
Total clusters: 1109
Total vertices: 2668

=== Vertex-based Bounds (from actual positions) ===
LOD | Clusters | Triangles | X Range                     | Y Range                     | Z Range
  0  |       57 |      5178 | [ -1.958,   1.831] 100.0% | [ -0.012,   7.104] 100.0% | [ -1.625,   1.365] 100.0%
  1  |       64 |      5269 | [ -1.958,   1.831] 100.0% | [ -0.012,   7.104] 100.0% | [ -1.625,   1.365] 100.0%
  2  |       65 |      5269 | [ -1.958,   1.831] 100.0% | [ -0.012,   7.104] 100.0% | [ -1.625,   1.365] 100.0%
  3  |       64 |      5269 | [ -1.958,   1.831] 100.0% | [ -0.012,   7.104] 100.0% | [ -1.625,   1.365] 100.0%
  4  |       66 |      5269 | [ -1.958,   1.831] 100.0% | [ -0.012,   7.104] 100.0% | [ -1.625,   1.365] 100.0%
  5  |       65 |      5269 | [ -1.958,   1.831] 100.0% | [ -0.012,   7.104] 100.0% | [ -1.625,   1.365] 100.0%
  6  |       67 |      5269 | [ -1.958,   1.831] 100.0% | [ -0.012,   7.104] 100.0% | [ -1.625,   1.365] 100.0%
  7  |       69 |      5269 | [ -1.958,   1.831] 100.0% | [ -0.012,   7.104] 100.0% | [ -1.625,   1.365] 100.0%
  8  |       65 |      5269 | [ -1.958,   1.831] 100.0% | [ -0.012,   7.104] 100.0% | [ -1.625,   1.365] 100.0%
  9  |       68 |      5269 | [ -1.958,   1.831] 100.0% | [ -0.012,   7.104] 100.0% | [ -1.625,   1.365] 100.0%
 10  |       66 |      5269 | [ -1.958,   1.831] 100.0% | [ -0.012,   7.104] 100.0% | [ -1.625,   1.365] 100.0%
 11  |       65 |      5269 | [ -1.958,   1.831] 100.0% | [ -0.012,   7.104] 100.0% | [ -1.625,   1.365] 100.0%
 12  |       65 |      5269 | [ -1.958,   1.831] 100.0% | [ -0.012,   7.104] 100.0% | [ -1.625,   1.365] 100.0%
 13  |       66 |      5269 | [ -1.958,   1.831] 100.0% | [ -0.012,   7.104] 100.0% | [ -1.625,   1.365] 100.0%
 14  |       65 |      5269 | [ -1.958,   1.831] 100.0% | [ -0.012,   7.104] 100.0% | [ -1.625,   1.365] 100.0%
 15  |       66 |      5269 | [ -1.958,   1.831] 100.0% | [ -0.012,   7.104] 100.0% | [ -1.625,   1.365] 100.0%
 16  |       65 |      5269 | [ -1.958,   1.831] 100.0% | [ -0.012,   7.104] 100.0% | [ -1.625,   1.365] 100.0%

=== Analysis Complete ===
